id,DPH,Temperature,CDD,SL,Notochord,Trunk,Head,Eye
16,12,28,216,4.45,3.27,0.72,1.19,0.46
16,12,28,216,4.78,3.41,0.9,1.16,0.46
17,12,28,216,4.69,3.44,0.76,1.18,0.47
17,12,28,216,4.97,3.49,0.93,1.12,0.46
18,12,28,216,4.56,3.26,0.77,1.25,0.47
18,12,28,216,4.48,3.19,0.78,1.08,0.46
19,12,28,216,4.4,3.21,0.77,1.16,0.47
19,12,28,216,4.11,2.8,0.81,1.08,0.42
20,12,28,216,5.61,4.09,0.95,1.42,0.57
20,12,28,216,3.92,2.86,0.64,0.93,0.44
1,16,28,288,5.76,4.02,1.01,1.53,0.56
1,16,28,288,5.19,3.66,0.84,1.33,0.54
2,16,28,288,6.42,4.38,1.06,1.78,0.65
2,16,28,288,4.82,3.45,0.71,1.19,0.53
3,16,28,288,5.54,3.82,0.9,1.51,0.54
3,16,28,288,4.93,3.49,0.83,1.35,0.53
4,16,28,288,7.3,5.04,1.35,2.2,0.65
4,16,28,288,5,3.65,0.86,1.36,0.52
5,16,28,288,5.81,4.02,1.02,1.78,0.62
5,16,28,288,4.64,3.55,0.78,1.28,0.54
6,16,28,288,5.98,4.38,1.02,1.56,0.58
6,16,28,288,4.45,3.1,0.71,1.11,0.48
7,16,28,288,6.16,4.51,1.11,1.61,0.61
7,16,28,288,4.95,3.43,0.78,1.18,0.49
8,16,28,288,6.99,4.84,1.45,1.97,0.63
8,16,28,288,4.61,3.29,0.76,1.17,0.46
9,16,28,288,5.59,3.79,1.11,1.44,0.57
9,16,28,288,5.05,3.68,0.78,1.31,0.52
10,16,28,288,6.17,4.59,1.04,1.55,0.59
10,16,28,288,5.14,3.8,0.84,1.28,0.52
11,16,28,288,6.26,4.32,1.47,1.91,0.62
11,16,28,288,6.75,4.74,1.43,2.02,0.66
12,16,28,288,5.62,4.01,1.03,1.58,0.55
12,16,28,288,8.78,6.28,1.66,2.66,0.77
13,16,28,288,6.13,4.56,1.13,1.72,0.64
13,16,28,288,6.57,4.72,1.18,1.88,0.63
14,16,28,288,8.28,6.01,1.74,2.49,0.78
14,16,28,288,6.36,4.49,1.18,1.83,0.61
15,16,28,288,7.27,5.03,1.39,2.1,0.68
15,16,28,288,6.24,4.46,1.28,1.74,0.62
16,16,28,288,7.42,5.18,1.56,2.15,0.7
16,16,28,288,6.57,4.74,1.19,1.67,0.61
17,16,28,288,8.33,6.04,1.89,2.43,0.7
17,16,28,288,7.47,5.46,1.72,1.83,0.66
18,16,28,288,7.23,5.32,1.63,2.08,0.69
18,16,28,288,8.14,5.85,1.81,2.1,0.71
19,16,28,288,6.88,5.07,1.19,2.03,0.64
19,16,28,288,7.84,5.59,1.58,1.98,0.72
20,16,28,288,8.75,6.49,2.1,2.56,0.76
20,16,28,288,8.11,6.02,1.62,2.3,0.76
1,20,28,360,5.7,3.88,1.03,1.53,0.54
1,20,28,360,6.66,4.71,1.35,2.03,0.65
2,20,28,360,6.3,4.24,1.12,1.86,0.62
2,20,28,360,8.75,6.24,1.76,2.48,0.78
3,20,28,360,5.29,3.8,0.96,1.47,0.57
3,20,28,360,6.56,4.65,1.23,1.83,0.63
4,20,28,360,7.27,5.08,1.3,2.22,0.68
4,20,28,360,6.26,4.43,1.21,1.78,0.6
5,20,28,360,5.77,3.99,1.04,1.83,0.63
5,20,28,360,6.1,4.34,1.18,1.66,0.63
6,20,28,360,5.84,4.22,1.02,1.54,0.59
6,20,28,360,6.5,4.72,1.19,1.85,0.58
7,20,28,360,6.14,4.37,1.13,1.63,0.61
7,20,28,360,7.38,5.43,1.65,1.94,0.65
8,20,28,360,6.87,4.94,1.37,1.93,0.63
8,20,28,360,8.02,5.85,1.76,2.24,0.7
9,20,28,360,5.37,3.76,1.06,1.57,0.57
9,20,28,360,7.55,5.4,1.64,2.13,0.7
10,20,28,360,5.87,4.5,1.04,1.69,0.61
10,20,28,360,7.9,5.88,1.51,2.24,0.75
11,20,28,360,6.3,4.27,1.51,1.82,0.6
12,20,28,360,5.6,4,1.03,1.44,0.55
13,20,28,360,6.04,4.54,1.05,1.59,0.62
14,20,28,360,8.29,5.94,1.69,2.13,0.76
15,20,28,360,7.01,4.92,1.41,1.88,0.67
16,20,28,360,7.41,5.01,1.58,2.1,0.69
17,20,28,360,8.31,6.07,1.81,2.36,0.71
18,20,28,360,7.16,5.44,1.58,2.09,0.69
19,20,28,360,6.8,4.95,1.26,2.02,0.64
20,20,28,360,8.71,6.49,2.07,2.49,0.76
1,24,28,432,10.64,7.41,2.66,3.52,1.02
1,24,28,432,11.56,8.98,3.29,3.67,1.01
2,24,28,432,10.49,7.34,2.46,3.49,0.98
2,24,28,432,11.79,8.73,3.29,3.88,1.04
3,24,28,432,10.72,7.87,2.63,3.58,0.96
3,24,28,432,12.23,8.88,3.25,4.03,1.05
4,24,28,432,12.22,9.55,3.4,4,1.11
4,24,28,432,11.17,7.83,2.6,3.82,1.01
5,24,28,432,10.69,8.13,2.76,3.59,0.98
5,24,28,432,12.08,8.64,2.92,3.88,1.02
6,24,28,432,10.92,8.1,2.51,3.76,1.04
6,24,28,432,10.57,7.91,2.59,3.46,1.03
7,24,28,432,9.61,6.58,2.15,3.39,0.97
7,24,28,432,11.46,8.37,3.44,3.8,1.06
8,24,28,432,10.28,6.9,2.46,3.58,1.02
8,24,28,432,11.02,7.44,2.77,3.62,1.04
9,24,28,432,10.75,8.6,2.48,3.55,1.03
9,24,28,432,10.49,7.19,2.75,3.36,0.97
10,24,28,432,10.65,8.11,2.21,3.72,1
10,24,28,432,11.53,7.88,3.19,3.84,1.04
11,24,28,432,11,8.17,3.32,3.45,1.03
11,24,28,432,12.76,9.52,3.08,4.51,1.25
12,24,28,432,11.9,9.39,3.19,4,1.13
12,24,28,432,14.95,11.62,3.36,5.13,1.33
13,24,28,432,12.68,9.86,3.52,4.13,1.18
13,24,28,432,11.58,8.45,3.24,3.73,1.13
14,24,28,432,13.09,9.49,3.77,4.16,1.19
14,24,28,432,9.15,6.53,1.88,3.34,0.92
15,24,28,432,9.72,7.03,2.54,3.49,1.01
15,24,28,432,9.17,6.06,2.25,3.15,0.9
16,24,28,432,11.97,8.96,3.38,4.12,1.14
16,24,28,432,11.53,7.81,3.47,4.01,1.1
17,24,28,432,11.37,8.3,3,3.86,1.1
17,24,28,432,10.21,7.49,2.95,3.68,0.98
18,24,28,432,11.12,8.27,2.95,3.86,1.06
18,24,28,432,10,6.96,2.75,3.36,0.92
19,24,28,432,12.1,8.71,3.06,4.07,1.13
19,24,28,432,11.31,8.36,3.07,3.81,1.14
20,24,28,432,12.06,8.5,3.12,4,1.11
20,24,28,432,11.22,8.15,3.28,3.5,1.12
