DPH,Temperature,Tank,Diet,SL,Eye,Head,Trunk,Notochord
20,26,8,4,5.832,0.581,1.764,1.267,2.739
20,26,8,4,4.61,0.454,1.178,0.824,2.684
20,26,8,4,4.694,0.498,1.265,0.943,2.767
20,26,8,4,4.68,0.446,1.158,0.813,3.184
20,26,8,4,5.319,0.534,1.463,1.058,3.461
20,26,8,4,5.758,0.529,1.684,1.087,3.154
20,26,10,4,5.2,0.541,1.502,0.936,3.215
20,26,10,4,5.719,0.582,1.695,1.11,3.388
20,26,10,4,6.014,0.657,1.757,1.126,3.466
20,26,10,4,7.541,0.75,2.37,1.547,4.086
20,26,10,4,6.264,0.665,1.983,1.167,3.451
20,26,10,4,6.262,0.606,1.839,1.145,3.739
20,26,10,4,6.549,0.603,1.843,1.34,4.042
20,26,10,4,6.058,0.572,1.789,1.301,3.712
20,26,10,4,6.233,0.601,1.969,1.195,3.733
20,26,10,4,6.27,0.554,1.76,1.157,3.644
24,26,3,4,10.602,1.003,3.398,3.061,5.034
24,26,3,4,10.327,1.006,3.402,2.879,4.495
24,26,3,4,12.261,1.117,3.981,3.408,5.349
24,26,3,4,9.811,0.904,2.982,2.227,4.736
24,26,3,4,12.233,1.088,4.034,3.209,5.246
24,26,3,4,12.233,1.151,4.011,3.43,5.302
24,26,3,4,10.341,0.887,3.135,2.618,4.648
24,26,3,4,14.204,1.137,4.384,4.497,6.092
24,26,3,4,11.182,0.986,3.625,3.289,5.273
24,26,3,4,11.359,1.004,3.509,3.142,5.187
24,26,8,4,17.743,1.526,5.929,5.595,7.259
24,26,8,4,14.991,1.394,4.842,4.359,6.403
24,26,8,4,16.178,1.415,5.289,4.598,6.759
24,26,8,4,14.704,1.35,4.823,4.051,6.417
24,26,8,4,15.437,1.388,5.05,4.129,6.436
24,26,8,4,16.725,1.502,5.638,5.534,6.649
24,26,8,4,13.302,1.254,4.493,4.031,5.698
24,26,8,4,13.242,1.219,4.274,3.809,5.762
24,26,8,4,14.577,1.26,4.67,4.515,6.19
24,26,8,4,14.448,1.263,4.661,4.52,6.318
24,26,10,4,7.829,0.796,2.455,1.486,4.164
24,26,10,4,7.436,0.809,2.491,1.449,3.769
24,26,10,4,7.946,0.785,2.439,1.432,4.406
24,26,10,4,9.179,0.868,2.921,1.955,4.697
24,26,10,4,9.223,0.857,2.909,1.851,4.935
24,26,10,4,7.949,0.719,2.412,1.614,4.394
24,26,10,4,10.28,0.843,3.178,2.283,5.098
24,26,10,4,8.914,0.81,2.795,1.692,4.878
24,26,10,4,9.386,0.834,2.794,1.761,5.049
24,26,10,4,8.894,0.792,2.858,1.811,4.784
7,28,9,1,3.347,0.302,0.763,0.706,1.925
7,28,9,1,2.94,0.273,0.708,0.584,1.602
7,28,9,1,2.948,0.292,0.641,0.507,1.649
7,28,9,1,3.171,0.287,0.653,0.589,1.771
7,28,9,1,3.005,0.286,0.772,0.645,1.576
7,28,9,1,3.119,0.271,0.761,0.53,1.705
7,28,9,1,3.152,0.274,0.712,0.626,1.74
7,28,9,1,2.964,0.302,0.747,0.602,1.71
7,28,9,1,3.036,0.27,0.661,0.561,1.765
7,28,9,1,2.939,0.288,0.749,0.53,1.619
7,28,15,1,2.58,0.285,0.661,0.56,1.373
7,28,15,1,2.653,0.306,0.625,0.631,1.385
7,28,15,1,3.135,0.301,0.831,0.749,1.591
7,28,15,1,3.26,0.297,0.666,0.679,1.637
7,28,15,1,3.158,0.286,0.598,0.653,1.792
7,28,15,1,3.209,0.265,0.62,0.631,1.808
7,28,15,1,3.101,0.293,0.651,0.598,1.774
7,28,15,1,3.461,0.334,0.628,0.793,1.896
7,28,15,1,3.228,0.314,0.73,0.645,1.832
7,28,15,1,3.354,0.294,0.634,0.765,1.712
7,28,2,1,3.107,0.291,0.777,0.621,1.808
7,28,2,1,3.135,0.285,0.791,0.634,1.682
7,28,2,1,3.088,0.294,0.778,0.756,1.785
7,28,2,1,3.225,0.334,0.825,0.665,1.466
7,28,2,1,3.678,0.372,0.797,0.692,2.066
7,28,2,1,3.211,0.324,0.753,0.61,1.737
7,28,2,1,3.598,0.31,0.885,0.726,1.97
7,28,2,1,3.406,0.241,0.777,0.62,1.889
7,28,2,1,3.942,0.344,0.91,0.782,2.197
7,28,2,1,3.239,0.25,0.762,0.603,1.777
7,28,12,1,3.145,0.298,0.77,0.568,1.942
7,28,12,1,2.66,0.297,0.746,0.527,1.499
7,28,12,1,2.996,0.246,0.755,0.589,1.707
7,28,12,1,3.088,0.284,0.774,0.621,1.764
7,28,12,1,2.56,0.285,0.688,0.531,1.492
7,28,12,1,3.101,0.326,0.657,0.566,1.889
7,28,12,1,3.386,0.251,0.672,0.643,2.026
7,28,12,1,3.588,0.312,0.728,0.738,2.036
7,28,12,1,3.308,0.305,0.735,0.614,1.906
7,28,12,1,2.995,0.262,0.736,0.615,1.728
12,28,9,2,4.467,0.435,1.097,0.764,2.555
12,28,9,2,4.312,0.433,1.091,0.835,2.553
12,28,9,2,3.82,0.393,1.02,0.673,2.21
12,28,9,2,4.019,0.433,1.11,0.668,2.178
12,28,9,2,4.582,0.471,1.227,0.869,2.694
12,28,9,2,4.626,0.449,1.212,0.912,2.671
12,28,9,2,4.298,0.387,0.969,0.782,2.683
12,28,9,2,4.01,0.384,0.945,0.701,2.38
12,28,9,2,4.967,0.439,1.147,1.022,2.752
12,28,9,2,4.781,0.445,1.133,0.88,2.619
12,28,15,2,4.944,0.486,1.123,0.874,2.857
12,28,15,2,4.496,0.456,0.977,0.821,2.738
12,28,15,2,4.253,0.422,1.005,0.826,2.543
12,28,15,2,4.175,0.439,0.957,0.805,2.431
12,28,15,2,4.357,0.452,1.114,0.852,2.674
12,28,15,2,4.286,0.444,1.039,0.74,2.622
12,28,15,2,4.467,0.449,1.035,0.743,2.714
12,28,15,2,4.363,0.441,1.128,0.707,2.514
12,28,15,2,4.28,0.429,1.037,0.784,2.374
12,28,15,2,5.444,0.514,1.261,0.94,2.939
16,28,9,3,5.479,0.533,1.454,1.031,3.056
16,28,9,3,5.947,0.593,1.716,1.018,3.307
16,28,9,3,4.942,0.523,1.337,0.967,2.806
16,28,9,3,6.808,0.646,2.054,1.147,3.713
16,28,9,3,5.432,0.611,1.611,0.967,3.09
16,28,9,3,5.537,0.525,1.374,1.051,3.253
16,28,9,3,5.739,0.597,1.498,1.107,3.254
16,28,9,3,6.326,0.601,1.793,1.206,3.72
16,28,9,3,5.167,0.506,1.361,1.073,2.953
16,28,9,3,5.669,0.553,1.402,1.001,3.305
16,28,15,3,6.486,0.651,2.048,1.554,3.324
16,28,15,3,5.803,0.561,1.669,1.145,3.448
16,28,15,3,6.368,0.657,1.824,1.156,3.547
16,28,15,3,8.36,0.802,2.259,1.846,4.559
16,28,15,3,7.371,0.712,2.13,1.615,4.14
16,28,15,3,7.726,0.713,2.145,1.741,4.58
16,28,15,3,8.595,0.711,2.504,1.829,4.468
16,28,15,3,7.483,0.711,2.178,1.681,3.801
16,28,15,3,7.055,0.659,2.058,1.523,3.993
16,28,15,3,8.973,0.786,2.468,2.39,4.409
20,28,9,4,5.865,0.592,1.811,1.12,3.46
20,28,9,4,6.653,0.667,2.048,1.241,3.821
20,28,9,4,5.575,0.588,1.626,1.164,3.091
20,28,9,4,7.556,0.692,2.39,1.467,4.212
20,28,9,4,6.105,0.668,1.954,1.222,3.38
20,28,9,4,6.164,0.621,1.7,1.09,3.772
20,28,9,4,6.375,0.664,1.899,1.246,3.715
20,28,9,4,7.222,0.706,2.062,1.607,4.105
20,28,9,4,5.684,0.598,1.658,1.245,3.336
20,28,9,4,6.375,0.611,1.74,1.256,3.691
20,28,15,4,6.574,0.647,2.047,1.791,3.211
20,28,15,4,5.793,0.58,1.703,1.09,3.406
20,28,15,4,6.601,0.656,1.932,1.31,3.646
20,28,15,4,8.777,0.802,2.397,2.045,4.388
20,28,15,4,7.591,0.737,1.934,1.741,4.137
20,28,15,4,7.776,0.728,2.281,1.746,4.458
20,28,15,4,8.732,0.798,2.493,1.887,4.725
20,28,15,4,7.527,0.752,2.199,1.805,3.701
20,28,15,4,7.142,0.689,2.116,1.579,3.987
20,28,15,4,9.196,0.815,2.663,2.491,4.527
24,28,9,4,11.966,1.135,4.186,3.249,5.674
24,28,9,4,11.784,1.136,4.149,3.335,4.904
24,28,9,4,11.969,1.096,4.107,3.189,5.401
24,28,9,4,13.893,1.271,4.568,4.102,5.274
24,28,9,4,11.912,1.141,4.032,2.904,4.838
24,28,9,4,12.187,1.193,4.44,2.996,5.1
24,28,9,4,10.205,1.028,3.623,2.508,4.503
24,28,9,4,10.918,1.099,3.947,2.894,5.031
24,28,9,4,11.441,1.096,3.885,3.59,5.202
24,28,9,4,11.364,1.028,3.877,3.156,5.031
24,28,15,4,12.121,1.159,3.481,3.735,5.133
24,28,15,4,12.991,1.25,4.472,3.656,5.495
24,28,15,4,13.717,1.33,4.5,3.969,5.929
24,28,15,4,13.864,1.28,3.902,4.046,5.845
24,28,15,4,10.311,1.06,3.674,2.695,4.77
24,28,15,4,12.915,1.23,4.437,3.623,5.361
24,28,15,4,12.528,1.181,4.272,3.313,5.631
24,28,15,4,12.49,1.171,4.189,3.48,5.314
24,28,15,4,13.256,1.223,4.375,4.068,5.643
24,28,15,4,12.968,1.188,3.879,3.905,5.809
