Comp.1,Comp.2,DPH,Temperature,SL,Cluster
-2.1131909158839104,-0.3246501757743086,7,20,3.347,1
-2.137335546907389,-0.26530486373068046,7,20,3.165,1
-2.0252622427125107,-0.17901541456855902,7,20,3.357,1
-1.8715569109804173,-0.15754674371781568,7,20,3.512,1
-2.3916925230374257,-0.3903817493655146,7,20,3.058,1
-2.17448947972869,-0.23030755227553243,7,20,3.218,1
-2.1237522867983265,-0.23564029720696325,7,20,3.295,1
-2.052325520946583,-0.26097609343094735,7,20,3.393,1
-2.052817963918946,-0.17719772418265442,7,20,3.269,1
-1.9807241170770102,-0.12359946298624118,7,20,3.571,1
-2.2375904256182038,-0.3561611904321887,7,20,3.032,1
-2.1141787522098467,-0.2328127722096441,7,20,3.416,1
-2.03646744907019,-0.19825924516512655,7,20,3.387,1
-2.107303303153958,-0.2146011436103587,7,20,3.348,1
-2.0068714902692535,-0.32121330888147587,7,20,3.349,1
-2.019399978348515,-0.2269929101782952,7,20,3.471,1
-1.864822741589382,-0.04545820994407359,7,20,3.711,1
-2.3298441280093627,-0.29403980141534625,7,20,3.165,1
-2.0024879148296857,-0.11066177100352663,7,20,3.476,1
-2.0658013257569054,-0.1646796622050824,7,20,3.532,1
-2.174718868442221,-0.2917105932385956,7,20,3.31,1
-2.2870881045563634,-0.3453357944170114,7,20,3.111,1
-2.242965666283078,-0.18748047372496265,7,20,3.202,1
-2.2481347915509478,-0.2709259973278539,7,20,3.268,1
-2.1258441272514315,-0.26822140635755354,7,20,3.554,1
-2.1679998791911714,-0.32852388459436893,7,20,3.348,1
-2.1781018311419196,-0.25974598070122706,7,20,3.233,1
-2.0906635171010244,-0.3603386254186803,7,20,3.223,1
-2.1516712587695697,-0.21998570345475735,7,20,3.292,1
-2.160944862520168,-0.23158272416828732,7,20,3.348,1
-1.4902520380714976,-0.04739567632024818,12,20,3.944,1
-1.21071157907594,-0.13586497412494408,12,20,4.409,1
-0.9709957984004003,0.08632184575065031,12,20,4.68,1
-1.048525060600963,0.06080851829360632,12,20,4.631,1
-1.78583054358269,-0.23415567294020992,12,20,3.569,1
-1.1122878484002343,0.04034016340935008,12,20,4.602,1
-1.3528872850216016,0.06599786083065463,12,20,4.33,1
-1.434394782099614,0.007733561306788653,12,20,4.283,1
-1.2460190192878853,0.04761280330302704,12,20,4.353,1
