Stage_E,Temperature.trend,SE,df,lower.CL,upper.CL,Q10,Grupo
E1,-0.18788538937233226,0.014475395242007413,18.797237202084034,-0.21820487459537108,-0.15756590414929345,0.15276509049124748, a 
E2,-0.010058090276791304,0.017240667070754417,25.55073165060295,-0.045527141437469346,0.025410960883886738,0.904311948113554,  b
E3,-0.0207404218742836,0.022581524962747256,27.82770130895252,-0.06700948513531954,0.02552864138675235,0.8126910786185788,  b
