variable,Comp.1,Comp.2
Notochord,19.32838428479518,49.17433140313109
Trunk,19.39633152851744,45.92533331663514
Head,20.33137129642392,2.9574540268794145
Eye,20.292576121311008,1.9301726997395414
SL,20.65133676895246,0.012708553614822773
