Source,Sum Sq,Mean Sq,NumDF,DenDF,F value,Pr(>F)
log_Weight,0.17812260408465325,0.17812260408465325,1,28.998150474413197,5.73591144870333,0.023303437639490124
Temperature,1.200373904575715,1.200373904575715,1,12.45631358248718,38.654490020302724,3.7871493607279166e-5
Stage_E,0.040508299355032265,0.020254149677516133,2,18.606147333764934,0.6522249639007225,0.532391004809965
Temperature:Stage_E,1.832261289659849,0.9161306448299245,2,20.29785383539939,29.501276837893908,9.853903388509306e-7
